,artist,song_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrical_valence,pca1,pca2
0,Adele,Hello,=,=,=,=,=,=,=,=,=,=,=,-3.4099946404953094,0.015221811879769146
1,Jesse & Joy,Fuego,+,=,=,--,++,=,++,++,++,=,--,28.707668803523738,0.1251687292741192
2,Dido,White Flag,=,=,=,--,=,=,++,=,=,=,--,8.585545812160953,0.3279471102180858
3,Trey Middleton,Worth Believin' In (Finale),-,=,=,--,=,++,=,=,=,=,--,-2.1205491263977008,0.1204531710871645
4,Tha Dogg Pound,Just Doggin',+,+,=,--,++,--,++,=,++,=,--,27.26826121385425,-0.009460412096081937
5,Faith Hill,Lost,=,=,=,--,=,=,=,=,=,=,--,-15.479817417077502,-0.36742063177149953
6,G-Eazy,Free Porn Cheap Drugs,=,+,=,--,=,-,++,=,=,=,--,-32.52831949547482,0.02021354529618652
7,The Dead South,One Dying and a Burying,=,=,=,--,+,++,++,+,++,=,--,0.4219327296193562,0.12862649453408959
8,Jason Aldean,Who's Kissing You Tonight,=,+,=,--,=,--,=,=,+,=,--,6.728269081803777,0.27572298052246896
9,Queen,Keep Passing The Open Windows - Remastered 2011,=,++,=,--,++,-,++,+,++,=,--,-0.5788434012228605,0.11804480645254276
10,Meek Mill,Use to Be,=,+,=,--,++,=,=,++,=,=,--,25.608135666646426,-0.09700005017687284
11,Cordae,Gifted (feat. Roddy Ricch),+,=,=,--,++,-,=,++,++,=,--,-10.365169138548048,-0.17290707828243645
12,Rascal Flatts,I Feel Bad,=,+,=,--,=,-,=,+,=,=,--,-27.731182090086033,0.2666851943075713
13,Hopsin,I Need Help,+,+,=,--,++,-,=,+,=,=,--,-11.232437155100676,-0.2720550122151743
14,Lady A,Damn You Seventeen,=,+,=,--,=,=,++,++,++,=,--,2.64282752372476,0.10126067257536588
15,Brittany Howard,Goat Head - EARTHGANG Remix,=,+,=,--,++,--,=,=,=,=,--,-8.018513064896961,-0.12830837012445348
16,Regurgitator,Love and Paranoia,=,+,=,--,++,--,++,++,=,=,--,-12.384086481908401,-0.3212695685989598
17,Hellogoodbye,Summer Of The Lily Pond,-,+,=,--,++,--,=,++,=,=,--,18.024979998322877,-0.28906476645359425
18,The Dead Tongues,Ebb and Flow,=,=,=,--,=,--,++,=,+,=,--,3.7129047065149745,0.2463784924644293
19,Grimes,California,=,+,=,--,++,--,++,++,+,=,--,42.52918655853089,0.45161070791245556
20,Lunay,Intro Envidia,=,+,=,--,+,+,=,++,=,=,--,6.493034588705096,0.4023980759658695
21,Okkervil River,Westfall,-,+,=,--,=,=,++,=,=,=,--,-23.572442435187046,0.395694900006783
22,Blur,Mirrorball,=,+,=,--,=,--,++,+,+,=,--,-34.3876848518785,-0.007691962420526383
23,Silverstein,November,-,+,=,--,=,--,++,++,=,=,--,20.064666487813444,-0.1431036233772196
24,Thalía,Desolvidandote,=,=,=,--,=,-,=,=,=,=,--,-17.406978188130715,-0.3725608954069537
25,Mobb Deep,Streets Raised Me (feat. Big Noyd),=,+,=,--,++,--,=,+,++,=,--,18.295788867362287,-0.2616012160262163
26,Tech N9ne,H.O.B.,+,+,=,--,++,--,=,+,=,=,--,-14.324733527476289,-0.3174018860750029
27,JGrrey,Growing,=,=,=,--,++,++,++,=,++,=,--,10.616958873470242,0.45466777028111255
28,Placebo,Where Is My Mind? - XFM Live Version,=,+,=,--,=,--,++,++,=,=,--,-5.8753976244287465,-0.15627654852587378
