artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrical_valence,pca1,pca2
Rick Astley,Never Gonna Give You Up,=,=,=,=,=,=,=,=,=,=,=,=,=,7.413049833,10.10069398
Lynyrd Skynyrd,Sweet Home Alabama,--,=,=,=,--,=,-,=,++,=,=,=,=,5.392627492,-16.55638729
Lynyrd Skynyrd,Sweet Home Alabama,--,=,=,=,--,=,-,=,++,=,=,=,=,4.764682149,-17.33464157
moe.,Blond Hair And Blue Eyes,-,=,=,=,--,=,-,--,++,=,-,=,-,6.69505657,-12.46496735
Linda Eder,Never Dance,--,=,=,=,--,=,=,+,--,+,=,=,=,-8.111282316,-8.210014099
The Corrs,Somebody for Someone,=,=,=,=,--,=,=,=,++,+,=,=,=,17.44197444,-1.865074074
Toby Keith,Too Far This Time,=,=,=,=,--,=,=,-,=,+,=,=,=,17.46337726,-1.882530275
Big D and the Kids Table,"Stop, Look & Listen (Shake Life Up)",-,=,=,=,--,=,=,=,++,-,=,=,=,7.061113559,-11.47495314
Pressure,Money Honey,-,=,=,=,--,=,=,--,++,=,-,=,-,11.41304203,-7.277794075
James Morrison,Right Here,=,=,=,=,--,=,=,=,--,=,-,=,-,21.62632749,6.326093145
Belinda Carlisle,Love Revolution,--,=,=,=,--,=,=,++,+,-,=,=,=,-18.92160623,-0.75605722
Slum Village,Conant Gardens - Bonus,--,=,=,=,--,=,++,-,--,=,=,=,=,2.185853829,-19.10743152
Gloria Estefan,So Good,--,=,=,=,--,=,++,=,--,=,=,=,=,6.272688123,-17.2678537
Wiz Khalifa,"Y U Mad (feat. Megan Thee Stallion, Ty Dolla $ign & Mustard)",=,=,-,=,--,=,=,=,--,=,-,=,-,15.1164376,-6.414166968
Ultravox,Rise,--,=,=,=,--,=,++,-,++,=,=,=,=,-18.84172302,1.751599014
La Arrolladora Banda El Limón De Rene Camacho,Se Me Canso El Corazon,++,=,=,=,--,=,-,=,--,-,=,=,=,26.8296292,31.69538243
Helloween,Future World,++,-,=,=,--,=,+,--,--,=,-,=,-,33.87121457,18.2864304
Palaye Royale,Hang on to Yourself,++,=,=,=,--,=,=,--,++,=,-,=,-,35.01547459,21.22002359
Straight No Chaser,Up on the Housetop,--,=,=,=,--,=,=,-,++,-,-,=,-,1.111540405,-22.09598245
Suga Free,Peace of Mind (feat. Debra Edwards & Cody Elles),--,=,=,=,--,=,++,=,--,=,=,=,=,-6.916444639,-6.604307265
Warrant,Uncle Tom's Cabin,--,=,=,=,--,=,++,--,++,-,-,=,-,1.615829734,-17.36008709
James Morrison,Right Here,-,=,=,=,--,=,=,=,--,=,-,=,-,11.57013698,-6.118621575
Buck-O-Nine,She's Fat,--,=,=,=,--,=,+,--,++,++,=,=,=,-16.45790844,-1.462441518
Gary Allan,Hangover Tonight,+,=,=,=,--,=,=,--,--,=,=,=,=,22.50283379,10.76095688
Kylie Minogue,Time Will Pass You By - Paul Masterson Mix,--,=,=,=,--,=,=,--,++,=,-,=,-,-21.07031515,-1.589994872
half•alive,arrow,++,=,-,=,--,=,++,--,++,=,=,=,=,36.67257596,25.02383199
Paulina Rubio,El Ultimo Adios,=,-,=,=,--,=,+,--,--,=,-,=,-,-8.840353363,12.95493449
The Band,Don’t Do it - Live At The Academy Of Music / 1971 / Soundboard Mix,-,=,=,=,--,=,++,++,++,+,-,=,-,8.496630046,-8.778070655
David Bowie,Rebel Rebel - 1999 Remaster,--,=,=,=,--,=,=,--,--,++,=,=,=,-21.01308127,-4.208842198
Keith Urban,God's Been Good To Me,+,=,=,=,--,=,=,-,-,=,=,=,=,27.5416661,10.54415626
Marianne Faithfull,The Price Of Love,--,=,=,=,--,=,=,=,++,+,=,=,=,-19.66463162,-4.013018795
Marianne Faithfull,The Price of Love,--,=,=,=,--,=,=,=,++,+,=,=,=,-20.28282023,-4.799236832
Big Star,Jesus Christ,-,=,=,=,--,=,-,=,++,++,=,=,=,10.03245845,-4.875937742
The Cars,Let's Go - 2016 Remaster,-,=,=,=,--,=,=,--,++,-,-,=,-,-13.67764465,2.720225605
Roxy Music,The Bogus Man - Live,+,=,=,=,--,=,=,=,++,-,=,=,=,15.05984833,19.35001754
half•alive,arrow,+,=,-,=,--,=,++,--,++,=,=,=,=,27.86629547,14.14045717
The Kinks,Acute Schizophrenia Paranoia Blues,--,=,=,=,--,=,=,-,=,++,=,=,=,6.8804826,-15.18717816
Wang Chung,Everybody Have Fun Tonight,--,=,=,=,--,=,=,--,++,=,-,=,-,-23.65086327,-2.07525337
Little Texas,Long Way Down,--,=,=,=,--,=,=,-,--,=,=,=,=,-27.18884728,8.499701631
Little Texas,Long Way Down,--,=,=,=,--,=,=,-,--,=,=,=,=,-27.82221212,7.72582956
Kenny Lynch,Misery,--,=,=,=,--,=,=,--,--,-,=,=,=,-23.28830962,-2.368646562
Bryan Adams,Not Guilty,=,=,=,=,--,=,=,-,--,=,-,=,-,-6.346793246,9.652459018
Talk Show,End of the World,--,=,=,=,--,=,=,=,-,=,=,=,=,-32.36611004,6.256253685
Train,Shake Up Christmas - Xmas Anthem,-,=,=,=,--,=,=,--,--,++,=,=,=,10.18442112,-7.570935932
Talk Show,Behind,--,=,=,=,--,=,=,=,-,=,=,=,=,-32.99715223,5.480503521
The Searchers,Money (That's What I Want) - Mono,--,=,=,=,--,=,=,--,++,-,=,=,=,-13.75205068,1.493778002
